Date,Timepoint,SampleID,pCO2_Treatment,Rep,FC_probe,cell_type,Count,Mean_FL1,
20220322,8_days,1,Low,B,DCFHDA,degranulated,1267,91042.08,
20220322,8_days,1,Low,B,DCFHDA,immature_granular,344,65927.76,
20220322,8_days,1,Low,B,DCFHDA,mature_agranular,416,38842.77,
20220322,8_days,1,Low,B,DCFHDA,mature_granular,801,197803.28,
20220322,8_days,2,Low,A,DCFHDA,degranulated,1381,139632.56,
20220322,8_days,2,Low,A,DCFHDA,immature_granular,188,136285.96,
20220322,8_days,2,Low,A,DCFHDA,mature_agranular,422,65244.18,
20220322,8_days,2,Low,A,DCFHDA,mature_granular,376,309649.65,
20220322,8_days,3,High,A,DCFHDA,degranulated,1849,80837.19,
20220322,8_days,3,High,A,DCFHDA,immature_granular,1457,78898.26,
20220322,8_days,3,High,A,DCFHDA,mature_agranular,1592,55697.29,
20220322,8_days,3,High,A,DCFHDA,mature_granular,2168,231639.26,
20220322,8_days,4,Low,B,DCFHDA,degranulated,NA,NA,poor sample quality
20220322,8_days,4,Low,B,DCFHDA,immature_granular,NA,NA,poor sample quality
20220322,8_days,4,Low,B,DCFHDA,mature_agranular,NA,NA,poor sample quality
20220322,8_days,4,Low,B,DCFHDA,mature_granular,NA,NA,poor sample quality
20220322,8_days,5,High,B,DCFHDA,degranulated,1608,158596.09,
20220322,8_days,5,High,B,DCFHDA,immature_granular,109,118301.82,
20220322,8_days,5,High,B,DCFHDA,mature_agranular,529,72039.47,
20220322,8_days,5,High,B,DCFHDA,mature_granular,305,315020.64,
20220322,8_days,6,High,A,DCFHDA,degranulated,1812,289788.52,
20220322,8_days,6,High,A,DCFHDA,immature_granular,294,199807.27,
20220322,8_days,6,High,A,DCFHDA,mature_agranular,806,134447.9,
20220322,8_days,6,High,A,DCFHDA,mature_granular,772,614380.74,
20220322,8_days,7,Low,B,DCFHDA,degranulated,5003,240953.94,
20220322,8_days,7,Low,B,DCFHDA,immature_granular,236,184802.26,
20220322,8_days,7,Low,B,DCFHDA,mature_agranular,935,116676.53,
20220322,8_days,7,Low,B,DCFHDA,mature_granular,593,553633.79,
20220322,8_days,8,High,B,DCFHDA,degranulated,1252,246187.78,
20220322,8_days,8,High,B,DCFHDA,immature_granular,325,71914.29,
20220322,8_days,8,High,B,DCFHDA,mature_agranular,214,91173.5,
20220322,8_days,8,High,B,DCFHDA,mature_granular,727,457385.89,
20220322,8_days,9,Low,A,DCFHDA,degranulated,1720,367045.93,
20220322,8_days,9,Low,A,DCFHDA,immature_granular,354,178573.1,
20220322,8_days,9,Low,A,DCFHDA,mature_agranular,537,167548.02,
20220322,8_days,9,Low,A,DCFHDA,mature_granular,1682,930477.71,
20220322,8_days,10,High,A,DCFHDA,degranulated,1426,184898.42,
20220322,8_days,10,High,A,DCFHDA,immature_granular,110,111646.28,
20220322,8_days,10,High,A,DCFHDA,mature_agranular,299,57639.8,
20220322,8_days,10,High,A,DCFHDA,mature_granular,482,379851.39,
20220322,8_days,11,High,B,DCFHDA,degranulated,6781,159643.48,
20220322,8_days,11,High,B,DCFHDA,immature_granular,951,95676.88,
20220322,8_days,11,High,B,DCFHDA,mature_agranular,1812,68170.91,
20220322,8_days,11,High,B,DCFHDA,mature_granular,2679,276481.79,
20220322,8_days,12,Low,A,DCFHDA,degranulated,628,313398.15,
20220322,8_days,12,Low,A,DCFHDA,immature_granular,83,104253.86,
20220322,8_days,12,Low,A,DCFHDA,mature_agranular,237,89777.34,
20220322,8_days,12,Low,A,DCFHDA,mature_granular,160,699788.92,
